Range (m),Velocity (m/s),Detected,Estimated Range (m),Error Range (m),Estimated Velocity (m/s),Error Velocity (m),False Positives
99.6666243749107,8,0,NaN,0,NaN,0,0
99.3999492498928,8,0,NaN,0,NaN,0,0
99.133274124875,8,0,NaN,0,NaN,0,0
98.8665989998571,8,0,NaN,0,NaN,0,0
98.5999238748393,8,0,NaN,0,NaN,0,0
85.3332487498214,16,0,NaN,0,NaN,0,0
84.7998984997857,16,0,NaN,0,NaN,0,0
84.26654824975,16,0,NaN,0,NaN,0,0
83.7331979997142,16,0,NaN,0,NaN,0,0
83.1998477496785,16,0,NaN,0,NaN,0,0
130.166703671953,-7,0,NaN,0,NaN,0,0
130.400044406344,-7,0,NaN,0,NaN,0,0
130.633385140734,-7,0,NaN,0,NaN,0,0
130.866725875125,-7,0,NaN,0,NaN,0,0
131.100066609516,-7,0,NaN,0,NaN,0,0
89.3331853121875,28,0,NaN,0,NaN,0,0
88.3998223746249,28,0,NaN,0,NaN,0,0
87.4664594370624,28,0,NaN,0,NaN,0,0
86.5330964994999,28,0,NaN,0,NaN,0,0
85.5997335619374,28,0,NaN,0,NaN,0,0
51.1667036719531,-7,0,NaN,0,NaN,0,0
51.4000444063438,-7,0,NaN,0,NaN,0,0
51.6333851407344,-7,0,NaN,0,NaN,0,0
51.866725875125,-7,0,NaN,0,NaN,0,0
52.1000666095156,-7,0,NaN,0,NaN,0,0
138.000031718817,-6,0,NaN,0,NaN,0,0
138.20003806258,-6,0,NaN,0,NaN,0,0
138.400044406344,-6,0,NaN,0,NaN,0,0
138.600050750107,-6,0,NaN,0,NaN,0,0
138.800057093871,-6,0,NaN,0,NaN,0,0
88.3331853121875,28,0,NaN,0,NaN,0,0
87.3998223746249,28,0,NaN,0,NaN,0,0
86.4664594370624,28,0,NaN,0,NaN,0,0
85.5330964994999,28,0,NaN,0,NaN,0,0
84.5997335619374,28,0,NaN,0,NaN,0,0
10.6665609372768,20,1,10.5092660829949,0.157294854281838,19.9724247364598,0.0275752635401894,0
9.9998731247321,20,1,10.0066579228084,0.00678479807633359,19.9784921632727,0.0215078367272632,0
9.33318531218746,20,1,9.24570272660788,0.087482585579572,19.9817139309279,0.0182860690720688,0
8.66649749964281,20,1,8.51228600173417,0.154211497908639,19.9256393364201,0.0743606635798884,0
7.99980968709816,20,1,7.98157166072104,0.0182380263771122,19.8933210545015,0.106678945498469,0
40.8334866409487,-29,0,NaN,0,NaN,0,0
41.8001839691384,-29,0,NaN,0,NaN,0,0
42.7668812973282,-29,0,NaN,0,NaN,0,0
43.7335786255179,-29,0,NaN,0,NaN,0,0
44.7002759537077,-29,0,NaN,0,NaN,0,0
105.166513359051,29,0,NaN,0,NaN,0,0
104.199816030862,29,0,NaN,0,NaN,0,0
103.233118702672,29,0,NaN,0,NaN,0,0
102.266421374482,29,0,NaN,0,NaN,0,0
101.299724046292,29,0,NaN,0,NaN,0,0
127.999873124732,24,0,NaN,0,NaN,0,0
127.199847749679,24,0,NaN,0,NaN,0,0
126.399822374625,24,0,NaN,0,NaN,0,0
125.599796999571,24,0,NaN,0,NaN,0,0
124.799771624518,24,0,NaN,0,NaN,0,0
21.4998255465066,33,1,21.3953399826194,0.104485563887231,32.9506560344527,0.0493439655473225,0
20.399790655808,33,1,20.1576940502994,0.242096605508561,32.9386130882478,0.0613869117521872,0
19.2997557651093,33,1,19.2185636088787,0.0811921562306033,32.7700714237358,0.229928576264179,0
18.1997208744106,33,1,18.1247012952957,0.0750195791149046,32.9649725512818,0.0350274487181892,0
17.099685983712,33,1,16.9067596337687,0.19292634994321,32.9375458781512,0.0624541218487522,0
139.333407343906,-14,0,NaN,0,NaN,0,0
139.800088812688,-14,0,NaN,0,NaN,0,0
140.266770281469,-14,0,NaN,0,NaN,0,0
140.73345175025,-14,0,NaN,0,NaN,0,0
141.200133219031,-14,0,NaN,0,NaN,0,0
43.4999207029576,15,0,NaN,0,NaN,0,0
42.9999048435491,15,0,NaN,0,NaN,0,0
42.4998889841406,15,0,NaN,0,NaN,0,0
41.9998731247321,15,0,NaN,0,NaN,0,0
41.4998572653236,15,0,NaN,0,NaN,0,0
122.166481640234,35,0,NaN,0,NaN,0,0
120.999777968281,35,0,NaN,0,NaN,0,0
119.833074296328,35,0,NaN,0,NaN,0,0
118.666370624375,35,0,NaN,0,NaN,0,0
117.499666952422,35,0,NaN,0,NaN,0,0
35.6668146878125,-28,0,NaN,0,NaN,0,0
36.6001776253751,-28,0,NaN,0,NaN,0,0
37.5335405629376,-28,0,NaN,0,NaN,0,0
38.4669035005001,-28,0,NaN,0,NaN,0,0
39.4002664380626,-28,0,NaN,0,NaN,0,0
132.833232890413,19,0,NaN,0,NaN,0,0
132.199879468496,19,0,NaN,0,NaN,0,0
131.566526046578,19,0,NaN,0,NaN,0,0
130.933172624661,19,0,NaN,0,NaN,0,0
130.299819202743,19,0,NaN,0,NaN,0,0
7.49985726532362,27,1,7.36843069731864,0.131426568004983,26.9644648375198,0.0355351624801656,0
6.59982871838834,27,1,6.5849255457576,0.0149031726307376,26.9616923421903,0.0383076578096606,0
5.69980017145306,27,1,5.5715491660701,0.128251005382969,26.8114282143576,0.188571785642427,0
4.79977162451779,27,1,4.66572038394537,0.134051240572417,26.9562473274363,0.0437526725636914,0
